featureName,featureClass,lat,lon,elevationFeet
Guy Hill,Summit,39.7772097,-105.3286028,8097
Belcher Hill,Summit,39.8216538,-105.3058244,8127
Mount Tom,Summit,39.8163762,-105.3513813,9741
Centralia Mountain,Summit,39.8283206,-105.3702707,9783
Ralston Buttes,Summit,39.8499868,-105.2672122,7270
Castle Rock,Pillar,39.7555429,-105.2105438,6316
North Table Mountain,Summit,39.7913759,-105.2008212,6552
Inspiration Point,Summit,39.786931,-105.05915,5417
Mount Trelease,Summit,39.6955423,-105.9030681,12460
Coon Hill,Summit,39.6888756,-105.9452921,12716
Hagar Mountain,Summit,39.7102645,-105.9211244,13189
Pettingell Peak,Summit,39.7291534,-105.9047348,13464
Grays Peak,Summit,39.6338758,-105.8175092,14268
Mount Edwards,Summit,39.6363759,-105.7938971,13838
Torreys Peak,Summit,39.6427647,-105.8213982,14235
Kelso Mountain,Summit,39.6588759,-105.8002862,13176
Baker Mountain,Summit,39.6652647,-105.8305652,12398
Ganley Mountain,Summit,39.6688759,-105.7763962,12887
Mount Sniktau,Summit,39.6783202,-105.8577885,13218
Woods Mountain,Summit,39.7222091,-105.839732,11703
Engelmann Peak,Summit,39.7455426,-105.8005636,13376
Robeson Peak,Summit,39.7335981,-105.8061195,13104
Mount Parnassus,Summit,39.7199869,-105.822509,13579
Bard Peak,Summit,39.7202648,-105.8038971,13645
Silver Plume Mountain,Summit,39.713876,-105.7669512,12457
Otter Mountain,Summit,39.6277649,-105.7322281,12772
Paines Mountain,Summit,39.6588761,-105.7263943,12054
Little Sugarloaf Peak,Summit,39.668043,-105.6908375,11325
Sugarloaf Peak,Summit,39.6497096,-105.691671,12415
Independence Mountain,Summit,39.6808207,-105.6858372,11457
Alpine Peak,Summit,39.6863763,-105.6816704,11509
Griffith Mountain,Summit,39.7016542,-105.6738922,11575
Leavenworth Mountain,Summit,39.6849872,-105.7230608,11066
Columbia Mountain,Summit,39.7480429,-105.7122267,10170
Republican Mountain,Summit,39.7147094,-105.735561,12323
Democrat Mountain,Summit,39.720265,-105.7269496,11689
Woodchuck Peak,Summit,39.7152653,-105.6730587,11132
Saxon Mountain,Summit,39.7233208,-105.6694474,11532
Devils Nose,Summit,39.6597101,-105.5955564,11040
Goliath Peak,Summit,39.6408212,-105.59889,12218
Porcupine Hill,Summit,39.6447104,-105.549166,10210
Captain Mountain,Summit,39.6377661,-105.5297209,9888
Papoose Mountain,Summit,39.6802661,-105.5130532,11178
Chief Mountain,Summit,39.6755438,-105.5230536,11699
Warrior Mountain,Summit,39.6755436,-105.5566659,11273
Alps Mountain,Summit,39.7277656,-105.5975002,10564
Jackson Monument,Pillar,39.7391547,-105.523053,7575
Flirtation Peak,Summit,39.7347103,-105.5202751,8251
Captains Rock,Pillar,39.6352662,-105.4949975,8691
Mount Susan,Summit,39.6366551,-105.4730524,8455
Vance Peak,Summit,39.6644327,-105.4791634,10256
Hicks Mountain,Summit,39.6485994,-105.4391624,10082
Krinder Peak,Summit,39.6480438,-105.3908277,8346
Bergen Peak,Summit,39.6660992,-105.3952721,9701
